id,nickname,registertime,type,friend_num,fan_num,richlevel,starlevel
178590980,vtsigqkxe966,"2017-02-05 17:01:35",tencent,0,0,0,0
246828841,02321313131313,"2018-09-07 23:25:39",phone,0,0,0,0
178874521,pveedvxjd859,"2017-02-08 14:53:14",tencent,0,0,0,0
178565951,178565951,"2017-02-05 11:44:25",tencent,0,0,0,0
178863127,dfdfdjdl,"2017-02-08 12:46:13",tencent,0,0,0,0
178587070,ltkwlkrmc407,"2017-02-05 16:19:25",tencent,0,0,0,0
178862958,jssyhcfza371,"2017-02-08 12:42:46",tencent,0,0,0,0
178566776,oyuazmvhg853,"2017-02-05 11:54:42",tencent,0,0,0,0
178872544,7552512.3,"2017-02-08 14:31:47",tencent,0,0,0,0
178861384,fakyyyyy👌,"2017-02-08 12:26:53",tencent,0,0,0,0
178589255,qhuupsegg770,"2017-02-05 16:42:39",tencent,0,0,0,0
178565783,fikzwlxcq573,"2017-02-05 11:42:06",tencent,0,0,0,0
211645587,科跪着求我吧@,"2018-01-02 12:27:14",weibo,1,109,0,0
242044447,倒霉315355,"2018-07-22 09:50:30",tencent,0,0,0,0
178582150,wvwfdsehf435,"2017-02-05 15:21:45",tencent,0,0,0,0
178864567,ybumiojpx876,"2017-02-08 13:04:28",tencent,0,0,0,0
145628190,勿忘我🔥,"2016-07-12 15:20:22",weixin,1,3,1,0
178588425,jwkumclid144,"2017-02-05 16:33:40",tencent,0,0,0,0
178860064,xbcvsvqek049,"2017-02-08 12:07:07",tencent,0,0,0,0
178589576,nxzsugjmm646,"2017-02-05 16:48:51",tencent,0,0,0,0
249412091,249412091,"2018-10-06 03:12:13",phone,1,2,0,0
178566388,fcgomugeh226,"2017-02-05 11:50:56",tencent,0,0,0,0
178861276,🌸🌸🌸simple1713,"2017-02-08 12:23:11",tencent,0,0,0,0
178584489,hknryqrwh680,"2017-02-05 15:49:50",tencent,0,0,0,0
178871205,aecgionkt140,"2017-02-08 14:17:15",tencent,0,0,0,0
246831108,oadog742jwyc,"2018-09-07 23:48:03",phone,0,0,0,0
178589347,fhddkzxwj424,"2017-02-05 16:43:38",tencent,0,0,0,0
178860285,🌾88980998🌹,"2017-02-08 12:11:29",tencent,0,0,0,0
178568177,uyoikzfsj608,"2017-02-05 12:16:21",tencent,0,0,0,0
178861181,fnijsaslj160,"2017-02-08 12:22:03",tencent,0,0,0,0
183340318,年之蔺,"2017-04-01 08:23:09",weibo,0,19,0,0
178865628,🌸🌸宝贝ZAQ444,"2017-02-08 13:16:09",tencent,0,0,0,0
178863608,🌺foolishant9,"2017-02-08 12:52:16",tencent,0,0,0,0
211645662,艘输过恨过我怕啥,"2018-01-02 12:28:12",weibo,1,1,0,0
178562410,yhzzamaow142,"2017-02-05 10:54:23",tencent,0,0,0,0
178872438,qvuozmigt010,"2017-02-08 14:33:09",tencent,1,0,0,0
182033847,潇洒一哥🎸,"2017-03-18 11:57:00",phone,0,3,0,0
178589855,ielbvqlku483,"2017-02-05 16:49:17",tencent,0,0,0,0
178568232,178568232,"2017-02-05 12:17:14",tencent,0,0,0,0
178869165,finjlfjrz564,"2017-02-08 13:54:42",tencent,0,0,0,0
178568603,aljhqezwm278,"2017-02-05 12:22:28",tencent,0,0,0,0
178591804,xiomzlhwg04,"2017-02-05 17:10:30",tencent,1,0,0,0
178598951,mylgmlzrm268,"2017-02-05 18:30:02",tencent,0,0,0,0
178874330,zghnvspci736,"2017-02-08 14:51:13",tencent,0,0,0,0
178568200,hllwkkckq627,"2017-02-05 12:16:41",tencent,0,0,0,0
178564768,idaceanql092,"2017-02-05 11:27:13",tencent,0,0,0,0
178569236,urkubnrzu894,"2017-02-05 12:34:23",tencent,0,0,0,0
178563256,178563256,"2017-02-05 11:05:51",tencent,0,0,0,0
247121831,65234543534523453,"2018-09-11 10:34:14",weixin,0,0,0,0
178860271,🌾karas86,"2017-02-08 12:11:15",tencent,0,0,0,0
178592029,zisjltxoi703,"2017-02-05 17:12:52",tencent,0,0,0,0
178567119,178567119,"2017-02-05 12:01:20",tencent,0,0,0,0
246814038,可疑广告246814038,"2018-09-07 21:41:47",weibo,0,0,0,0
178862886,cunmjffdf448,"2017-02-08 12:43:08",tencent,0,0,0,0
